"","Assigned To","RESOLVED MERCHANT NAME","Confidence Level
(Resolved = 3
Unsure = 2
Can"t Resolve = 1)","Category (Flag = 1 if category is wrong )","MERCHANT NAME FOR GOOGLE SEARCH","num_tansactions","higest_amount","Original Transaction Descriptor (Use this field for reference)","lowest_amount","lowest_amount_descriptor","Category","other_information","Remarks, if any (Please input the category name for wrong categories i.e. Flag = 1 OR any other info you want to share)","Notes"
"32547","DC","","","","ST PAUL GROCERY LLC","314","215.1","ST PAUL GROCERY LLC      SAINT PAUL   NE","1.7","ST PAUL GROCERY LLC      SAINT PAUL   NE","{"Groceries": 314}","","",""
"32979","DC","","","","SKINSTORE.COM","314","964.1","SKINSTORE.COM            SKINSTORE.COMCA","-168.7","SKINSTORE.COM            SKINSTORE.COMCA","{"Shopping": 314}","","",""
"37613","DC","","","","SIXT CAR","314","994.4","SIXT CAR 9417128129/00   LANGLEY SLO  GBR","-817.1","SIXT CAR 18JUL CPAR      PULLACH      DEU","{"Rental Car & Taxi": 314}","{"SEP MCMN": 1, "TRAFFIC OFF": 49, "SEP ECAR": 1, "SEP IWMR": 1, "FEB CDAR": 1}","",""
"32515","DC","","","","RIH PARKING","314","7","RIH PARKING              PROVIDENCE   RI","2","RIH PARKING              PROVIDENCE   RI","{"Parking": 314}","","",""
"32474","DC","","","","REALIZCAFE","314","13.1","REALIZCAFE    58448366   KANSAS CITY  MO","1.1","REALIZCAFE    58448366   KANSAS CITY  MO","{"Fast Food": 314}","","",""
"32507","DC","","","","PEXTON PHARMACY","314","871.5","PEXTON PHARMACY          HARLAN       IA","0.9","PEXTON PHARMACY          HARLAN       IA","{"Pharmacy": 314}","","",""
"51747","DC","","","","MONROVIA CMF","314","98.1","MONROVIA CMF             BALTIMORE    MD","1.5","MONROVIA CMF             BALTIMORE    MD","{"Gas": 314}","","",""
"32461","DC","","","","MCKINLEY LIQUOR","314","981.6","MCKINLEY LIQUOR          724-2831878  NY","5.4","MCKINLEY LIQUOR          716-8278277  NY","{"Alcohol & Bars": 314}","","",""
"34189","DC","","","","KITCHENS","314","134.7","KITCHENS OF THE BAY ST   BOSTON       MA","2.1","KITCHENS OF THE BAY ST   BOSTON       MA","{"Fast Food": 314}","","",""
"32471","DC","","","","jBloom","314","843.3","jBloom                   636-9223853  MO","-13.5","jBloom                   636-9223853  MO","{"Clothing": 314}","","",""
"32483","DC","","","","HUDSON"S SUPERMART","314","326.4","HUDSON"S SUPERMART       HARRISON     AR","1.1","HUDSON"S SUPERMART       HARRISON     AR","{"Groceries": 314}","","",""
"32504","DC","","","","DISNEY PHOTOPASS WE","314","450.8","DISNEY PHOTOPASS WE      407-828-5630 FL","9.8","DISNEY PHOTOPASS WE      4078285630   FL","{"Business Services": 314}","","",""
"32544","DC","","","","DAM BREWING COMPANY, DBA","314","206.5","DAM BREWING COMPANY, DBA/DILLON       CO","4.5","DAM BREWING COMPANY, DBA/DILLON       CO","{"Restaurants": 314}","","",""
"32503","DC","","","","CYBERSONIC THANK YOU","314","129.9","CYBERSONIC THANK YOU     800-770-7525 CA","9.9","CYBERSONIC THANK YOU     800-770-7525 CA","{"Health & Fitness": 314}","","",""
"32491","DC","","","","CPAPDIRECT.COM","314","999.9","CPAPDIRECT.COM           800-497-4904 FL","-888.9","CPAPDIRECT.COM           8004974904   FL","{"Health & Fitness": 314}","","",""
"59458","DC","","","","COFFINS CORNER","314","75.7","COFFINS CORNER #1        GRAND ISLAND NE","1.4","COFFINS CORNER #2        GRAND ISLAND NE","{"Gas": 314}","","",""
"32613","DC","","","","ZIPTHRU QPS","313","100","ZIPTHRU            QPS   CHARLOTTE    NC","-7.6","ZIPTHRU            QPS   8882817277   NC","{"Restaurants": 313}","","",""
"32582","DC","","","","VXNMEDI","313","300.2","VXNMEDI*VXNBILL.COM      855-467-1420 DE","1","VXNMEDI*VXNBILL.COM/VP 85855-467-1420 CA","{"Shopping": 313}","","",""
"32626","DC","","","","VAN U MED AUBONPAIN","313","22.9","VAN U MED AUBONPAIN245   NASHVILLE    TN","1.3","VAN U MED AUBONPAIN245   NASHVILLE    TN","{"Fast Food": 313}","","",""
"32171","DC","","","","TGI FRIDAYS","313","371.7","TGI FRIDAYS-EASTWOOD     QUEZON CITY","3.1","TGI FRIDAYS              CALLAO","{"Restaurants": 313}","","",""
"66273","DC","","","","SOMERSET DAILY AMERICAN","313","215","SOMERSET DAILY AMERICAN 4814-4445900  PA","-9.9","SOMERSET DAILY AMERICAN PHAGERSTOWN   MD","{"Books": 313}","","",""
"32649","DC","","","","RECOLORADO","313","515.3","RECOLORADO               P://SHOPPING.CO","5","RECOLORADO               P://SHOPPING.CO","{"Business Services": 313}","","",""
"32621","DC","","","","PEGASUS SCHOOL IMAGES","313","78","PEGASUS SCHOOL IMAGES    905-6434299  ON","-11","PEGASUS SCHOOL IMAGES    STONEY CREEK ON","{"Shopping": 313}","","",""
"40271","DC","","","","PARKBOI","313","30","PARKBOI-CAP FRONT1       BOISE        ID","3","PARKBOI-CAPMYRTLE2       BOISE        ID","{"Parking": 313}","{"OFFICE": 2}","",""
"32599","DC","","","","MARINERSSAFECO","313","880.8","005MARINERSSAFECO        SEATTLE      WA","2.9","005MARINERSSAFECO        SEATTLE      WA","{"Sporting Goods": 313}","","",""
"32593","DC","","","","LUCIANAS","313","226","LUCIANAS 4               GREENWOOD    IN","7.3","LUCIANAS 3               COLUMBUS     IN","{"Restaurants": 313}","","",""
"33970","DC","","","","HICV MAINTENANCE FEES","313","991.4","HICV MAINTENANCE FEES -  800-950-1292 FL","-136","HICV MAINTENANCE FEES -  800-950-1292 FL","{"Vacation": 313}","","",""
"32630","DC","","","","HARVARDHEALTH PUBS","313","100.9","BPI*HARVARDHEALTH PUBS   800-649-9457 CT","-26","BPI*HARVARDHEALTH PUBS   800-649-9457 CT","{"Shopping": 313}","{"BPI": 306}","",""
"34979","DC","","","","FC & A PUBLISHING","313","128.3","FC &  A PUBLISHING       800-2268024  GA","-29.9","FC &  A PUBLISHING       800-2268024  GA","{"Shopping": 313}","","",""
"33590","DC","","","","FARGO","313","525","SQ *FARGO-MOORHEAD       MOORHEAD     MN","-1","FARGO                    800-514-3849 NC","{"Entertainment": 313}","{"SQ": 8}","",""
"32640","DC","","","","CONSUMERREPRTSONHEALTH","313","168.3","CONSUMERREPRTSONHEALTH   800-333-0663 NY","-34.1","CONSUMERREPRTSONHEALTH   800-333-0663 NY","{"Shopping": 313}","","",""
"37258","DC","","","","CINCINNATI REDS","313","951","CINCINNATI REDS R        COSTA MESA   CA","-112","CINCINNATI REDS I        8003520212   CA","{"Entertainment": 313}","{"TM": 37}","",""
"32616","DC","","","","CEP CAFE","313","10.5","CEP CAFE      11302031   COLUMBUS     IN","1","CEP CAFE      11302031   COLUMBUS     IN","{"Fast Food": 313}","","",""
"32611","DC","","","","BRAY"S SHOE SERVICE","313","750","BRAY"S SHOE SERVICE      MINOT        ND","-146.1","BRAY"S SHOE SERVICE      MINOT        ND","{"Clothing": 313}","","",""
"32632","DC","","","","BLUE 42 SPORTS","313","220.8","CKE*BLUE 42 SPORTS G 1021HARTFORD     SD","7.1","CKE*BLUE 42 SPORTS G 1021HARTFORD     SD","{"Restaurants": 313}","{"CKE": 313}","",""
"32589","DC","","","","AMK NW PIMA MICRO MKT","313","10.1","AMK NW PIMA MICRO MKT    SCOTTSDALE   AZ","1","AMK NW PIMA MICRO MKT    SCOTTSDALE   AZ","{"Fast Food": 313}","","",""
"32744","DC","","","","AAA CLUB / INSUR","313","990","AAA CLUB/INSUR 0470590R  313-336-1465 MI","-405","AAA CLUB/INSUR 0470590R  313-336-1465 MI","{"Gifts & Donations": 313}","","",""
"56492","DC","","","","3GLDSCR.COM","313","39.9","3GLDSCR.COM              855-506-9175 DE","-39.9","3GLDSCR.COM              855-506-9175 DE","{"Business Services": 313}","","",""
"25729","DC","","","","WONDERSHARE","312","159.3","PAYPAL *WONDERSHARE      4029357733   CA","-139.9","PAYPAL *WONDERSHARE      4029357733","{"Electronics & Software": 312}","{"PAYPAL": 264, "GOOGLE": 13}","",""
"32671","DC","","","","WEASLEYS QUALI","312","223.6","WEASLEYS QUALI01302520   ORLANDO      FL","-95.8","WEASLEYS QUALI01302520   ORLANDO      FL","{"Shopping": 312}","","",""
"32714","DC","","","","UMPHYSICIANS","312","987.5","UMPHYSICIANS             763-7826500  MN","-473.7","UMPHYSICIANS             BROOKLYN CENTMN","{"Doctor": 312}","","",""
"32701","DC","","","","THECARCOVERCOMPANY","312","559.9","THECARCOVERCOMPANY       HTTPSWWW.CARACA","-124.9","THECARCOVERCOMPANY       800-288-5844 CA","{"Auto & Transport": 312}","","",""
"32965","DC","","","","THE INN","312","848.5","THE INN AT BAY FORTUNE   SOURIS       PE","-121.5","THE INN                  LONG BEACH   NY","{"Restaurants": 312}","{"TST": 25, "SQU SQ": 1, "SQ": 21}","",""
"32757","DC","","","","TE GRILL","312","350","TE GRILL                 PLANO        TX","1","TE GRILL                 PLANO        TX","{"Restaurants": 312}","","",""
"32679","DC","","","","STATEFOODSAFETYCOM","312","744","STATEFOODSAFETYCOM       OREM         UT","-10","STATEFOODSAFETYCOM       OREM         UT","{"Health & Fitness": 312}","","",""
"32704","DC","","","","SHOWPLACE ICON","312","103.2","SHOWPLACE ICON 8857      SANTA CLARA  CA","-9","SHOWPLACE ICON 8857      SANTA CLARA  CA","{"Movies & DVDs": 312}","","",""
"34853","DC","","","","SHOPREVIEW","312","91.5","SHOPREVIEW               650149292391","-20.1","SHOPREVIEW               650149292391","{"Furnishings": 312}","{"PAYPAL": 112}","",""
"39379","DC","","","","RYDEN"S GAS","312","138.3","RYDEN"S GAS              GRAND PORTAGEMN","1.5","RYDEN"S GAS              GRAND PORTAGEMN","{"Gas": 312}","","",""
"35737","DC","","","","PROJECTYOURSELF.COM","312","192.2","PROJECTYOURSELF.COM      877-977-1799 CA","-42.9","PROJECTYOURSELF.COM      ENCINITAS    CA","{"Clothing": 312}","","",""
"26909","DC","","","","Nordcurrent","312","107.3","GOOGLE *Nordcurrent      g.co/helppay#CA","0.1","GOOGLE *Nordcurrent      g.co/helppay#CA","{"Electronics & Software": 312}","{"GOOGLE": 312}","",""
"32750","DC","","","","WWW.NCHSOFTWARE.COM","312","269","WWW.NCHSOFTWARE.COM      TURNER","-60.2","WWW.NCHSOFTWARE.COM      TURNER","{"Electronics & Software": 312}","","",""
"32720","DC","","","","MIRAMAR MAIN","312","711.4","MIRAMAR MAIN E83010017   SAN DIEGO    CA","-149.9","MIRAMAR MAIN E83010017   SAN DIEGO    CA","{"Uncategorized": 312}","","",""
"32718","DC","","","","MARIVIC"S FRESH SEAFOOD","312","700","MARIVIC"S FRESH SEAFOOD AHONOLULU     HI","2.2","MARIVIC"S FRESH SEAFOOD AHONOLULU     HI","{"Groceries": 312}","","",""
"32794","DC","","","","LOF INC","312","209.6","PAYPAL *EBAY LOF INC     4029357733   CA","-56.2","PAYPAL *EBAY LOF INC     402-935-7733 CA","{"Auto & Transport": 312}","{"PAYPAL": 244, "PAYPAL EBAY": 68}","",""
"32669","DC","","","","LIN"S PRICE","312","349.7","LIN"S PRICE              PRICE        UT","2","LIN"S PRICE              PRICE        UT","{"Groceries": 312}","","",""
"32773","DC","","","","KVAN BOURGONDIEN","312","838.2","KVAN BOURGONDIEN         8005529916   OH","-245.2","KVAN BOURGONDIEN         937-667-2491 OH","{"Shopping": 312}","","",""
"32683","DC","","","","KSA OPERATIONS","312","55.6","KSA OPERATIONS GRAND FOR GRAND FORKS  ND","1.7","KSA OPERATIONS           FARGO        ND","{"Fast Food": 312}","","",""
"32735","DC","","","","INTERCONTINENTAL ST PAU","312","893.6","INTERCONTINENTAL ST PAU  SAINT PAUL   MN","-245.9","INTERCONTINENTAL ST PAU  SAINT PAUL   MN","{"Hotel": 312}","","",""
"25149","DC","","","","HOLIDAY INN & SUITES","312","731.6","HOLIDAY INN & SUITES     FULLERTON    CA","-588.5","HOLIDAY INN & SUITES     MILPITAS     CA","{"Hotel": 312}","","",""
"34447","DC","","","","FULL CRYSTAL","312","189.6","FULL CRYSTAL             877-778-6591 NY","-54.9","FULL CRYSTAL             877-778-6591 NY","{"Shopping": 312}","","",""
"32753","DC","","","","EA INC","312","131.6","PAYPAL *EA INC           4029357733   CA","-10.6","PAYPAL *EA INC           402-935-7733 CA","{"Entertainment": 312}","{"PAYPAL": 312}","",""
"32696","DC","","","","DMMSOLU","312","399","DMMSOLU*AMOLATINA.COM    8002334087   NY","-9.9","DMMSOLU*DATING.COM       8889809770   NY","{"Entertainment": 312}","","",""
"32756","DC","","","","COW BOYS","312","231.6","COW BOYS                 HUNTLEY      MT","7.2","COW BOYS                 HUNTLEY      MT","{"Restaurants": 312}","","",""
"32661","DC","","","","COVENANT MC CAFE","312","47.4","COVENANT MC CAFE         LUBBOCK      TX","0.9","COVENANT MC CAFE         LUBBOCK      TX","{"Restaurants": 312}","","",""
"32732","DC","","","","BOSS LIQUOR","312","132.7","BOSS LIQUOR              BRIGHTON     CO","2.7","BOSS LIQUOR              BRIGHTON     CO","{"Alcohol & Bars": 312}","","",""
"32743","DC","","","","BODE RETAIL","312","609.2","BODE RETAIL              7028252550   AZ","-103.9","BODE RETAIL              SCOTTSDALE   AZ","{"Groceries": 312}","","",""
"32700","DC","","","","ASHP","312","905","ASHP                     866-2790681  ND","-100","ASHP                     866-2790681  ND","{"Gifts & Donations": 312}","","",""
"32769","DC","","","","ARKHOLYWD / HARDROCK","312","54.9","ARKHOLYWD/HARDROCK       FORT LAUDERDAFL","2.5","ARKHOLYWD/HARDROCK       FORT LAUDERDAFL","{"Restaurants": 312}","","",""
"32926","DC","","","","ZOUWENJUAN","311","117.5","PAYPAL *ZOUWENJUAN       4029357733","-2.3","PAYPAL *ZOUWENJUAN       4029357733","{"Shopping": 311}","{"PAYPAL": 311}","",""
"32858","DC","","","","UCD HARRIS SCHOOL CAF","311","14.3","UCD HARRIS SCHOOL CAF;   CHICAGO      IL","1","UCD HARRIS SCHOOL CAF;   CHICAGO      IL","{"Fast Food": 311}","","",""
"32809","DC","","","","TUNEIN.COM","311","109.9","TUNEIN.COM               TUNEIN.COM   CA","-91.2","TUNEIN.COM               650-319-7100 CA","{"Electronics & Software": 311}","","",""
"32787","DC","","","","TIRC-EMERALD BAY BAR","311","61.5","TIRC-EMERALD BAY BAR     WELCH        MN","-32","TIRC-EMERALD BAY BAR     WELCH        MN","{"Restaurants": 311}","","",""
"33296","DC","","","","THE NIPPON CLUB, INC","311","774.4","THE NIPPON CLUB,INC      NEW YORK     NY","3.8","THE NIPPON CLUB,INC      NEW YORK     NY","{"Restaurants": 311}","","",""
"29266","DC","","","","SAMS RESTAURANT","311","215.9","SAMS RESTAURANT          FAIRFIELD    TX","1.5","SAMS RESTAURANT OF ARL   ARLINGTON HEIIL","{"Restaurants": 311}","","",""
"32820","DC","","","","ROUSE S","311","341.2","ROUSE S #60              ZACHARY      LA","1.6","ROUSE S #60              ZACHARY      LA","{"Groceries": 311}","","",""
"32814","DC","","","","P W WILLO","311","11.3","1782 P W WILLO18017822   EAST HARTFORDCT","1.1","1782 P W WILLO18017822   EAST HARTFORDCT","{"Fast Food": 311}","","",""
"47896","DC","","","","MUNSTER CITGO","311","100","MUNSTER CITGO            MUNSTER      IN","0.9","MUNSTER CITGO            MUNSTER      IN","{"Gas": 311}","","",""
"32869","DC","","","","MITLL APRETTO","311","12.1","MITLL APRETTO 60749298   LEXINGTON    MA","1.1","MITLL APRETTO 60749298   LEXINGTON    MA","{"Fast Food": 311}","","",""
"32897","DC","","","","MALONES","311","813.3","MALONES HAMBURG          LEXINGTON    KY","6.9","MALONES                  VANCOUVER    BC","{"Restaurants": 311}","","",""
"32786","DC","","","","KACHAVA","311","256.8","KACHAVA                  HTTPSWWW.KACHNV","-119.9","KACHAVA                  8556687574   NV","{"Groceries": 311}","{"PAYPAL": 29}","",""
"32855","DC","","","","IWC INTERNATIONAL","311","800","IWC INTERNATIONAL        307-2220026  CA","-12.2","IWC INTERNATIONAL        480-2461006  AZ","{"Shopping": 311}","","",""
"33040","DC","","","","GR CNYN MASWIK DEPOSIT","311","785.7","GR CNYN MASWIK DEPOSIT   8882972757   CO","-498.1","GR CNYN MASWIK DEPOSIT   8882972757   CO","{"Hotel": 311}","","",""
"32861","DC","","","","GCI MUSICIAN"S FRIEND","311","999","GCI*MUSICIAN"S FRIEND    800-776-5173 UT","-615.5","GCI*MUSICIAN"S FRIEND    800-776-5173 UT","{"Music": 311}","","",""
"33170","DC","","","","DUFRY STORE","311","540.5","DUFRY STORE 22           FT LAUDERDALEFL","3.7","DUFRY STORE 22           FT LAUDERDALEFL","{"Shopping": 311}","","",""
"32879","DC","","","","DOWJONES NEWS","311","255.7","D J*DOWJONES NEWS        800-568-7625 MA","-239.8","D J*DOWJONES NEWS        800-568-7625 MA","{"Shopping": 311}","","",""
"32831","DC","","","","DAIMARU DEPT . STORE TOKYO","311","965.4","DAIMARU DEPT.STORE TOKYO TOKYO","2.5","DAIMARU DEPT.STORE TOKYO TOKYO","{"Shopping": 311}","","",""
"32860","DC","","","","COUNTY DRUG INC","311","647.8","COUNTY DRUG INC          STURGIS      SD","0.9","COUNTY DRUG INC          STURGIS      SD","{"Pharmacy": 311}","","",""
"32799","DC","","","","BAR AND TAP","311","657.4","1919 BAR AND TAP         GREEN BAY    WI","5.5","1919 BAR AND TAP         GREEN BAY    WI","{"Restaurants": 311}","","",""
"32901","DC","","","","AMK LIFESPAN SIMPLE SPOON","311","34.3","AMK LIFESPAN SIMPLE SPOONPROVIDENCE   RI","-7.4","AMK LIFESPAN SIMPLE SPOONPROVIDENCE   RI","{"Restaurants": 311}","","",""
"34394","DC","","","","10 TH STREET STARFIRE","311","83","10TH STREET STARFIRE     CAMBRIDGE    OH","2","10TH STREET STARFIRE     CAMBRIDGE    OH","{"Gas": 311}","","",""
"32880","DC","","","","50013-11 & JACKSON FRE","311","20","50013 - 11 & JACKSON (FREOMAHA        NE","7.5","50013 - 11 & JACKSON (FREOMAHA        NE","{"Parking": 311}","","",""
"33100","DC","","","","TONNEAUCOVERSWORLD","310","999.5","TONNEAUCOVERSWORLD       8772165446   FL","-640.9","TONNEAUCOVERSWORLD       OCALA        FL","{"Auto & Transport": 310}","","",""
"32950","DC","","","","TAXI-NEWARK.COM","310","205.5","TAXI-NEWARK.COM          844-808-2944 NY","18","TAXI-NEWARK.COM          844-808-2944 NY","{"Rental Car & Taxi": 310}","","",""
"32935","DC","","","","ST ELIZABETH CAFETERIA","310","26","ST ELIZABETH CAFETERIA   LINCOLN      NE","0.1","ST ELIZABETH CAFETERIA   LINCOLN      NE","{"Fast Food": 310}","","",""
"32969","DC","","","","SMARTBEAR IRELAND LIMI","310","962.7","SMARTBEAR IRELAND LIMI   CLARE","0","SMARTBEAR IRELAND LIMI   CLARE","{"Internet": 310}","","",""
"40339","DC","","","","SHEPLERSINC","310","663.6","PAYPAL *SHEPLERSINC      402-935-7733 KS","-441.4","PAYPAL *SHEPLERSINC      402-935-7733 KS","{"Clothing": 310}","{"PAYPAL": 297, "PAYPAL EBAY": 13}","",""
"50096","DC","","","","ROADSIDE 66","310","659.5","ROADSIDE 66              PLANKINTON   SD","1.4","ROADSIDE 66              CRYSTAL      ND","{"Gas": 310}","","",""
"33071","DC","","","","PUREFORMULA","310","431.7","PAYPAL *PUREFORMULA      402-935-7733 FL","-336.5","PAYPAL *PUREFORMULA      402-935-7733 FL","{"Groceries": 310}","{"PAYPAL": 310}","",""
"60792","DC","","","","OASIS GAMES","310","106.9","GOOGLE *OASIS GAMES      g.co/helppay#CA","0.9","PAYPAL *OASIS GAMES      4029357733   CA","{"Entertainment": 310}","{"PAYPAL": 48, "GOOGLE": 262}","",""
"41268","DC","","","","NORTH DODGE SINCLAIR","310","75","NORTH DODGE SINCLAIR     IOWA CITY    IA","1.2","NORTH DODGE SINCLAIR     IOWA CITY    IA","{"Gas": 310}","","",""
"47122","DC","","","","neowizgames","310","96.7","GOOGLE *neowizgames      g.co/helppay#CA","0.9","GOOGLE *neowizgames      g.co/helppay#CA","{"Electronics & Software": 310}","{"GOOGLE": 310}","",""
"43305","DC","","","","MOBIL","310","354","MOBIL                    MEADOW LAKE  SK","0.8","MOBIL                    CALGARY      AB","{"Gas": 310}","{"SQ SQ": 1, "POWDER DRIVE": 1, "SQUARE SQ": 3}","",""
"32916","DC","","","","MJ ONE BOUTIQUE","310","353.9","MJ ONE BOUTIQUE          LAS VEGAS    NV","-70.3","MJ ONE BOUTIQUE          LAS VEGAS    NV","{"Entertainment": 310}","","",""
"32993","DC","","","","MINNESOTA ENERGY","310","753.5","FSI*MINNESOTA ENERGY     800-889-9508 WI","5.2","FSI*MINNESOTA ENERGY     800-889-9508 WI","{"Utilities": 310}","{"FSI": 310}","",""
"32940","DC","","","","MAMA GS","310","76.4","MAMA GS                  MAPLE GROVE  MN","3.5","MAMA GS                  MAPLE GROVE  MN","{"Restaurants": 310}","","",""
"33084","DC","","","","JPMC CHICAGO CAFE","310","23.7","JPMC CHICAGO CAFE        312-732-1452 IL","1.9","JPMC CHICAGO CAFE        312-732-1452 IL","{"Fast Food": 310}","","",""
"55930","DC","","","","JOHNSON LN GEN STORE","310","81","JOHNSON LN GEN STORE     MINDEN       NV","0.9","JOHNSON LN GEN STORE     MINDEN       NV","{"Gas": 310}","","",""
"36677","DC","","","","HTFD PARKING-METERS","310","25","HTFD PARKING-METERS      HTTP://WWW.HACT","0.9","HTFD PARKING-METERS      HTTP://WWW.HACT","{"Legal": 310}","","",""
"31699","DC","","","","HOTELSCOM posorn","310","952.1","HOTELSCOM{posorn}        HOTELS.COM   WA","-893.5","HOTELSCOM{posorn}        HOTELS.COM   WA","{"Travel": 310}","","",""
"32968","DC","","","","HK DOUBLE DIAMOND","310","50","HK DOUBLE DIAMOND        HINCKLEY     MN","0.7","HK DOUBLE DIAMOND        HINCKLEY     MN","{"Restaurants": 310}","","",""
"32930","DC","","","","HELENA PIZZA RANCH","310","150.8","HELENA PIZZA RANCH       HELENA       MT","1.2","HELENA PIZZA RANCH       HELENA       MT","{"Restaurants": 310}","","",""
"32910","DC","","","","HAPPYLEMONCA","310","37.8","HAPPYLEMONCA_24          SAN LEANDRO  CA","3.7","HAPPYLEMONCA_27          SAN JOSE     CA","{"Fast Food": 310}","","",""
"33001","DC","","","","DIVE BOMB INDUSTRIES","310","980","DIVE BOMB INDUSTRIES     314-3227486  MO","25","DIVE BOMB INDUSTRIES     314-3227486  MO","{"Sporting Goods": 310}","","",""
"32944","DC","","","","CUNNINGHA","310","497","877-484-4367 CUNNINGHA   8774844367   OH","-297","877-484-4367 CUNNINGHA   877-484-4367 OH","{"Electronics & Software": 310}","","",""
"32989","DC","","","","CONCEALEDONLINECOM","310","65","CONCEALEDONLINECOM       877-5166519  CA","-65","CONCEALEDONLINECOM       877-5166519  CA","{"Education": 310}","","",""
"32958","DC","","","","COFFEE AM","310","220.4","COFFEE AM                822-803-7774 GA","-60.9","COFFEE AM                8228037774   GA","{"Groceries": 310}","","",""
"45231","DC","","","","CITY OF CF","310","802.9","CITY OF CF-UB WEB        330-971-8230 OH","-387.5","CITY OF CF- NATATORIUM   CUYAHOGA FALLOH","{"Entertainment": 310}","{"COM DEV": 1, "UB WEB": 58}","",""
"32990","DC","","","","CHAVONNEFRE","310","206.1","PAYPAL *CHAVONNEFRE      4029357733   CA","3.3","PAYPAL *CHAVONNEFRE      4029357733   CA","{"Business Services": 310}","{"PAYPAL": 310}","",""
"32905","DC","","","","CECILS DELI","310","150.8","CECILS DELI              SAINT PAUL   MN","2.5","CECILS DELI              SAINT PAUL   MN","{"Restaurants": 310}","","",""
"32992","DC","","","","CAB STORE NEWARK","310","924.9","CAB STORE NEWARK, DE     NEWARK       DE","-180","CAB STORE NEWARK, DE     NEWARK       DE","{"Sporting Goods": 310}","","",""
"33031","DC","","","","WHITE HOUSE SUB SHOP","309","112.7","WHITE HOUSE SUB SHOP     ATLANTIC CITYNJ","2.6","WHITE HOUSE SUB SHOP     ATLANTIC CITYNJ","{"Restaurants": 309}","","",""
"33018","DC","","","","TME TASTEHOM","309","42.8","TME*5S904R*TASTEHOM      855-449-8747 NY","-36","TME*HXJ29K*TASTEHOM      855-449-8747 NY","{"Shopping": 309}","{"PS": 1}","",""
"31951","DC","","","","TME CarDrivr","309","40.7","TME*28P4JR*CarDrivr      855-449-8747 NY","-39.7","TME*NNR09S*CarDrivr      855-427-1652 NY","{"Shopping": 309}","","",""
"33030","DC","","","","TACAMPLIFIER","309","186.9","EMS*TACAMPLIFIER         844-475-3594 CT","-146.9","EMS*TACAMPLIFIER         844-475-3594 CT","{"Shopping": 309}","","",""
"33061","DC","","","","ST A-GRT PL REHAB SVCS","309","849","ST A-GRT PL REHAB SVCS   BISMARCK     ND","-331.7","ST A-GRT PL REHAB SVCS   BISMARCK     ND","{"Doctor": 309}","","",""
"33074","DC","","","","SE IMAX PLANETARIUM","309","79","SE IMAX PLANETARIUM      WASHINGTON   DC","-16.5","SE IMAX PLANETARIUM      WASHINGTON   DC","{"Shopping": 309}","","",""
"33036","DC","","","","PESI","309","599.9","PESI                     800-8448260  WI","-299.9","PESI                     800-8448260  WI","{"Education": 309}","","",""
"33376","DC","","","","MSG MERCH STORE","309","330","MSG MERCH STORE          NEW YORK     NY","-6","MSG MERCH STORE          NEW YORK     NY","{"Shopping": 309}","","",""
"33057","DC","","","","MILK STAND","309","43","MILK STAND               ANAHEIM      CA","4.3","MILK STAND               ANAHEIM      CA","{"Fast Food": 309}","","",""
"33058","DC","","","","LTFITNESS PRODUCT","309","368.7","LTFITNESS PRODUCT/SVCS   888-284-0048 MN","2.3","LTFITNESS PRODUCT/SVCS   888-284-0048 MN","{"Entertainment": 309}","{"SVCS": 304}","",""
"32290","DC","","","","Lovisa America LLC","309","163.2","Lovisa America LLC       Dover        DE","-60.4","Lovisa America LLC       Dover        DE","{"Clothing": 309}","","",""
"33012","DC","","","","JR EAST HOTELS","309","995.9","JR EAST HOTELS           TOUKIYOUTO   JPN","-159","JR EAST HOTELS           SIBUYAKU","{"Hotel": 309}","","",""
"33077","DC","","","","GOLF 18 NETWORK","309","398.7","GOLF 18 NETWORK          CHICAGO      IL","-128.1","GOLF 18 NETWORK          800-994-0661 IL","{"Entertainment": 309}","","",""
"33099","DC","","","","DEESDRIVEIN","309","81.1","DEESDRIVEIN              BARNESVILLE  MN","2.1","DEESDRIVEIN              BARNESVILLE  MN","{"Restaurants": 309}","","",""
"33016","DC","","","","DAVID S FOODS","309","178.4","DAVID  S FOODS           LAKE MILLS   IA","1.5","DAVID  S FOODS           LAKE MILLS   IA","{"Fast Food": 309}","","",""
"33027","DC","","","","Dales Jr Market","309","247.3","Dales Jr Market          Playa Del ReyCA","1.7","Dales Jr Market          Playa Del ReyCA","{"Alcohol & Bars": 309}","","",""
"32553","DC","","","","CS Grubhub","309","500","CS Grubhub Gift Card     877-850-1977 ME","-250","CS Grubhub Gift Card     877-850-1977 ME","{"Uncategorized": 309}","{"Gift Card": 309}","",""
"33586","DC","","","","CRYSTALS-STARBUCKS","309","67.8","CRYSTALS -  STARBUCKS    LAS VEGAS    NV","1.5","CRYSTALS -  STARBUCKS    LAS VEGAS    NV","{"Fast Food": 309}","","",""
"33049","DC","","","","CMXWWW.COMIXOLOGY.COM","309","123.7","CMXWWW.COMIXOLOGY.COM    212-564-0405 NY","-0.4","CMXWWW.COMIXOLOGY.COM    212-564-0405 NY","{"Shopping": 309}","","",""
"33511","DC","","","","CFR DISC CLUB","309","14.9","CFR DISC CLUB            https://www.cTN","9.9","CFR DISC CLUB            https://www.cTN","{"Music": 309}","","",""
